# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.207693099975585938e+01
2.000000000000000000e+00 2.077820205688476562e+01
3.000000000000000000e+00 1.639314651489257812e+01
4.000000000000000000e+00 1.887480163574218750e+01
5.000000000000000000e+00 1.443481445312500000e+01
6.000000000000000000e+00 1.436499500274658203e+01
7.000000000000000000e+00 1.823694038391113281e+01
8.000000000000000000e+00 2.640910339355468750e+01
9.000000000000000000e+00 1.928167343139648438e+01
1.000000000000000000e+01 2.251087951660156250e+01
1.100000000000000000e+01 3.271923446655273438e+01
1.200000000000000000e+01 3.213926696777343750e+01
1.300000000000000000e+01 3.149815177917480469e+01
1.400000000000000000e+01 3.636016082763671875e+01
1.500000000000000000e+01 3.994553756713867188e+01
1.600000000000000000e+01 3.863915252685546875e+01
1.700000000000000000e+01 4.071857070922851562e+01
1.800000000000000000e+01 4.460689163208007812e+01
1.900000000000000000e+01 3.851092910766601562e+01
2.000000000000000000e+01 4.592535781860351562e+01
2.100000000000000000e+01 3.802185440063476562e+01
2.200000000000000000e+01 4.241231918334960938e+01
2.300000000000000000e+01 4.796082305908203125e+01
2.400000000000000000e+01 4.840049743652343750e+01
2.500000000000000000e+01 5.635249328613281250e+01
2.600000000000000000e+01 5.527669143676757812e+01
2.700000000000000000e+01 6.036000442504882812e+01
2.800000000000000000e+01 5.664950561523437500e+01
2.900000000000000000e+01 5.528172302246093750e+01
3.000000000000000000e+01 5.707917022705078125e+01
3.100000000000000000e+01 6.076071166992187500e+01
3.200000000000000000e+01 6.074390029907226562e+01
3.300000000000000000e+01 5.976989746093750000e+01
3.400000000000000000e+01 6.145641708374023438e+01
3.500000000000000000e+01 6.189558029174804688e+01
3.600000000000000000e+01 6.161441421508789062e+01
3.700000000000000000e+01 6.519232940673828125e+01
3.800000000000000000e+01 6.150509262084960938e+01
3.900000000000000000e+01 6.147450637817382812e+01
4.000000000000000000e+01 6.486011505126953125e+01
4.100000000000000000e+01 6.588053894042968750e+01
4.200000000000000000e+01 6.420238494873046875e+01
4.300000000000000000e+01 5.961128234863281250e+01
4.400000000000000000e+01 6.310778808593750000e+01
4.500000000000000000e+01 6.326526260375976562e+01
4.600000000000000000e+01 6.702289581298828125e+01
4.700000000000000000e+01 6.170401000976562500e+01
4.800000000000000000e+01 6.697952270507812500e+01
4.900000000000000000e+01 6.498009490966796875e+01
5.000000000000000000e+01 6.405643463134765625e+01
5.100000000000000000e+01 6.200180816650390625e+01
5.200000000000000000e+01 6.187466812133789062e+01
5.300000000000000000e+01 5.966091537475585938e+01
5.400000000000000000e+01 6.207807159423828125e+01
5.500000000000000000e+01 6.715814971923828125e+01
5.600000000000000000e+01 5.972612380981445312e+01
5.700000000000000000e+01 6.054579925537109375e+01
5.800000000000000000e+01 6.400587463378906250e+01
5.900000000000000000e+01 6.152638626098632812e+01
6.000000000000000000e+01 6.362444686889648438e+01
6.100000000000000000e+01 6.303710556030273438e+01
6.200000000000000000e+01 6.232033920288085938e+01
6.300000000000000000e+01 6.720861816406250000e+01
6.400000000000000000e+01 6.504618072509765625e+01
6.500000000000000000e+01 6.310086441040039062e+01
6.600000000000000000e+01 6.094645309448242188e+01
6.700000000000000000e+01 6.145254898071289062e+01
6.800000000000000000e+01 6.185673522949218750e+01
6.900000000000000000e+01 6.330097579956054688e+01
7.000000000000000000e+01 6.140859603881835938e+01
7.100000000000000000e+01 6.359262847900390625e+01
7.200000000000000000e+01 6.375934600830078125e+01
7.300000000000000000e+01 6.281737899780273438e+01
7.400000000000000000e+01 6.331925582885742188e+01
7.500000000000000000e+01 5.613130187988281250e+01
7.600000000000000000e+01 6.348658752441406250e+01
7.700000000000000000e+01 6.146591949462890625e+01
7.800000000000000000e+01 6.161807250976562500e+01
7.900000000000000000e+01 6.356279373168945312e+01
8.000000000000000000e+01 6.276199340820312500e+01
8.100000000000000000e+01 5.980718231201171875e+01
8.200000000000000000e+01 6.341570663452148438e+01
8.300000000000000000e+01 6.133012390136718750e+01
8.400000000000000000e+01 6.710039520263671875e+01
8.500000000000000000e+01 6.179348373413085938e+01
8.600000000000000000e+01 6.245053863525390625e+01
8.700000000000000000e+01 6.354617691040039062e+01
8.800000000000000000e+01 6.785243225097656250e+01
8.900000000000000000e+01 6.195597839355468750e+01
9.000000000000000000e+01 6.180586624145507812e+01
9.100000000000000000e+01 6.209298706054687500e+01
9.200000000000000000e+01 5.828384399414062500e+01
9.300000000000000000e+01 6.196632766723632812e+01
9.400000000000000000e+01 6.106848907470703125e+01
9.500000000000000000e+01 6.412642669677734375e+01
9.600000000000000000e+01 6.555623626708984375e+01
9.700000000000000000e+01 6.201225280761718750e+01
9.800000000000000000e+01 6.583924102783203125e+01
9.900000000000000000e+01 6.595876312255859375e+01
1.000000000000000000e+02 6.094802093505859375e+01
