# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.063863849639892578e+01
2.000000000000000000e+00 1.492768192291259766e+01
3.000000000000000000e+00 1.642566299438476562e+01
4.000000000000000000e+00 1.524894809722900391e+01
5.000000000000000000e+00 1.680674934387207031e+01
6.000000000000000000e+00 1.740595245361328125e+01
7.000000000000000000e+00 2.266225624084472656e+01
8.000000000000000000e+00 3.235567474365234375e+01
9.000000000000000000e+00 2.992028427124023438e+01
1.000000000000000000e+01 2.719090080261230469e+01
1.100000000000000000e+01 3.316693878173828125e+01
1.200000000000000000e+01 3.933572006225585938e+01
1.300000000000000000e+01 4.599985504150390625e+01
1.400000000000000000e+01 4.799565887451171875e+01
1.500000000000000000e+01 4.990374374389648438e+01
1.600000000000000000e+01 5.493868255615234375e+01
1.700000000000000000e+01 6.398291778564453125e+01
1.800000000000000000e+01 6.559933471679687500e+01
1.900000000000000000e+01 6.589721679687500000e+01
2.000000000000000000e+01 7.029425048828125000e+01
2.100000000000000000e+01 7.051186370849609375e+01
2.200000000000000000e+01 6.997356414794921875e+01
2.300000000000000000e+01 7.182558441162109375e+01
2.400000000000000000e+01 6.566440582275390625e+01
2.500000000000000000e+01 6.867943572998046875e+01
2.600000000000000000e+01 6.850711059570312500e+01
2.700000000000000000e+01 7.323688507080078125e+01
2.800000000000000000e+01 7.365442657470703125e+01
2.900000000000000000e+01 7.175914764404296875e+01
3.000000000000000000e+01 7.206750488281250000e+01
3.100000000000000000e+01 7.165329742431640625e+01
3.200000000000000000e+01 7.133232116699218750e+01
3.300000000000000000e+01 6.795297241210937500e+01
3.400000000000000000e+01 7.000997924804687500e+01
3.500000000000000000e+01 7.144564819335937500e+01
3.600000000000000000e+01 7.139023590087890625e+01
3.700000000000000000e+01 7.452592468261718750e+01
3.800000000000000000e+01 7.193358612060546875e+01
3.900000000000000000e+01 7.334661102294921875e+01
4.000000000000000000e+01 7.125900268554687500e+01
4.100000000000000000e+01 6.750829315185546875e+01
4.200000000000000000e+01 7.130984497070312500e+01
4.300000000000000000e+01 7.029137420654296875e+01
4.400000000000000000e+01 7.444699859619140625e+01
4.500000000000000000e+01 7.097769927978515625e+01
4.600000000000000000e+01 6.966448974609375000e+01
4.700000000000000000e+01 7.264790344238281250e+01
4.800000000000000000e+01 7.324703216552734375e+01
4.900000000000000000e+01 7.033675384521484375e+01
5.000000000000000000e+01 6.846053314208984375e+01
5.100000000000000000e+01 7.367723083496093750e+01
5.200000000000000000e+01 7.092227172851562500e+01
5.300000000000000000e+01 7.036193084716796875e+01
5.400000000000000000e+01 6.810093688964843750e+01
5.500000000000000000e+01 7.140891265869140625e+01
5.600000000000000000e+01 7.126519775390625000e+01
5.700000000000000000e+01 6.991204833984375000e+01
5.800000000000000000e+01 7.039178466796875000e+01
5.900000000000000000e+01 7.433512115478515625e+01
6.000000000000000000e+01 7.264830780029296875e+01
6.100000000000000000e+01 7.122176361083984375e+01
6.200000000000000000e+01 7.474446868896484375e+01
6.300000000000000000e+01 7.139641571044921875e+01
6.400000000000000000e+01 7.505627441406250000e+01
6.500000000000000000e+01 7.299420928955078125e+01
6.600000000000000000e+01 7.265385437011718750e+01
6.700000000000000000e+01 7.034796142578125000e+01
6.800000000000000000e+01 7.510299682617187500e+01
6.900000000000000000e+01 7.436511230468750000e+01
7.000000000000000000e+01 7.511188507080078125e+01
7.100000000000000000e+01 7.363399505615234375e+01
7.200000000000000000e+01 7.416664123535156250e+01
7.300000000000000000e+01 7.318382263183593750e+01
7.400000000000000000e+01 7.095196533203125000e+01
7.500000000000000000e+01 7.212074279785156250e+01
7.600000000000000000e+01 7.282888793945312500e+01
7.700000000000000000e+01 7.349098205566406250e+01
7.800000000000000000e+01 7.406884002685546875e+01
7.900000000000000000e+01 7.463016510009765625e+01
8.000000000000000000e+01 7.108995056152343750e+01
8.100000000000000000e+01 7.292355346679687500e+01
8.200000000000000000e+01 7.459709930419921875e+01
8.300000000000000000e+01 7.640704345703125000e+01
8.400000000000000000e+01 7.434948730468750000e+01
8.500000000000000000e+01 7.340396118164062500e+01
8.600000000000000000e+01 7.469133758544921875e+01
8.700000000000000000e+01 7.216293334960937500e+01
8.800000000000000000e+01 7.423975372314453125e+01
8.900000000000000000e+01 7.123084259033203125e+01
9.000000000000000000e+01 7.306852722167968750e+01
9.100000000000000000e+01 7.309320068359375000e+01
9.200000000000000000e+01 7.291355895996093750e+01
9.300000000000000000e+01 7.558215332031250000e+01
9.400000000000000000e+01 7.902007293701171875e+01
9.500000000000000000e+01 7.328850555419921875e+01
9.600000000000000000e+01 6.830983734130859375e+01
9.700000000000000000e+01 7.397309875488281250e+01
9.800000000000000000e+01 7.734713745117187500e+01
9.900000000000000000e+01 6.949067687988281250e+01
1.000000000000000000e+02 7.400328826904296875e+01
