# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.128778457641601562e+00
2.000000000000000000e+00 1.158068466186523438e+01
3.000000000000000000e+00 1.163890933990478516e+01
4.000000000000000000e+00 9.477763175964355469e+00
5.000000000000000000e+00 7.634298801422119141e+00
6.000000000000000000e+00 1.424500846862792969e+01
7.000000000000000000e+00 1.452573108673095703e+01
8.000000000000000000e+00 2.801581573486328125e+01
9.000000000000000000e+00 2.791356658935546875e+01
1.000000000000000000e+01 2.633941841125488281e+01
1.100000000000000000e+01 2.683587646484375000e+01
1.200000000000000000e+01 4.234461212158203125e+01
1.300000000000000000e+01 4.518571853637695312e+01
1.400000000000000000e+01 4.604033279418945312e+01
1.500000000000000000e+01 5.380719757080078125e+01
1.600000000000000000e+01 6.027275848388671875e+01
1.700000000000000000e+01 5.931372070312500000e+01
1.800000000000000000e+01 7.083070373535156250e+01
1.900000000000000000e+01 6.595664215087890625e+01
2.000000000000000000e+01 7.625400543212890625e+01
2.100000000000000000e+01 7.550314331054687500e+01
2.200000000000000000e+01 6.544525909423828125e+01
2.300000000000000000e+01 5.202961730957031250e+01
2.400000000000000000e+01 5.964050674438476562e+01
2.500000000000000000e+01 6.894622802734375000e+01
2.600000000000000000e+01 7.650099182128906250e+01
2.700000000000000000e+01 7.101280975341796875e+01
2.800000000000000000e+01 7.230711364746093750e+01
2.900000000000000000e+01 7.228762817382812500e+01
3.000000000000000000e+01 7.239890289306640625e+01
3.100000000000000000e+01 7.549452209472656250e+01
3.200000000000000000e+01 7.248597717285156250e+01
3.300000000000000000e+01 6.959297943115234375e+01
3.400000000000000000e+01 7.368544006347656250e+01
3.500000000000000000e+01 7.061124420166015625e+01
3.600000000000000000e+01 6.772582244873046875e+01
3.700000000000000000e+01 7.294245910644531250e+01
3.800000000000000000e+01 7.109147644042968750e+01
3.900000000000000000e+01 6.626966857910156250e+01
4.000000000000000000e+01 7.014995574951171875e+01
4.100000000000000000e+01 6.880265045166015625e+01
4.200000000000000000e+01 7.267173004150390625e+01
4.300000000000000000e+01 6.837427520751953125e+01
4.400000000000000000e+01 7.264810943603515625e+01
4.500000000000000000e+01 6.557298278808593750e+01
4.600000000000000000e+01 6.371907043457031250e+01
4.700000000000000000e+01 6.944493103027343750e+01
4.800000000000000000e+01 7.119066619873046875e+01
4.900000000000000000e+01 6.246091842651367188e+01
5.000000000000000000e+01 6.287386703491210938e+01
5.100000000000000000e+01 6.855004119873046875e+01
5.200000000000000000e+01 7.161219024658203125e+01
5.300000000000000000e+01 6.893968963623046875e+01
5.400000000000000000e+01 6.692066955566406250e+01
5.500000000000000000e+01 7.039634704589843750e+01
5.600000000000000000e+01 6.622417449951171875e+01
5.700000000000000000e+01 6.598735046386718750e+01
5.800000000000000000e+01 5.854465484619140625e+01
5.900000000000000000e+01 6.798117065429687500e+01
6.000000000000000000e+01 6.360744094848632812e+01
6.100000000000000000e+01 6.682077789306640625e+01
6.200000000000000000e+01 6.392788696289062500e+01
6.300000000000000000e+01 7.021098327636718750e+01
6.400000000000000000e+01 7.286827850341796875e+01
6.500000000000000000e+01 6.690084838867187500e+01
6.600000000000000000e+01 6.191325378417968750e+01
6.700000000000000000e+01 6.865593719482421875e+01
6.800000000000000000e+01 7.630196380615234375e+01
6.900000000000000000e+01 7.218093872070312500e+01
7.000000000000000000e+01 7.121514892578125000e+01
7.100000000000000000e+01 6.804195404052734375e+01
7.200000000000000000e+01 7.282351684570312500e+01
7.300000000000000000e+01 6.817766571044921875e+01
7.400000000000000000e+01 5.980684280395507812e+01
7.500000000000000000e+01 7.489070892333984375e+01
7.600000000000000000e+01 7.349825286865234375e+01
7.700000000000000000e+01 6.819119262695312500e+01
7.800000000000000000e+01 7.442446899414062500e+01
7.900000000000000000e+01 7.044981384277343750e+01
8.000000000000000000e+01 7.418795776367187500e+01
8.100000000000000000e+01 7.266178894042968750e+01
8.200000000000000000e+01 7.439414978027343750e+01
8.300000000000000000e+01 6.799050903320312500e+01
8.400000000000000000e+01 6.789995574951171875e+01
8.500000000000000000e+01 7.749969482421875000e+01
8.600000000000000000e+01 6.924510192871093750e+01
8.700000000000000000e+01 7.039153289794921875e+01
8.800000000000000000e+01 7.271373748779296875e+01
8.900000000000000000e+01 7.061823272705078125e+01
9.000000000000000000e+01 7.662806701660156250e+01
9.100000000000000000e+01 7.267832946777343750e+01
9.200000000000000000e+01 6.836511993408203125e+01
9.300000000000000000e+01 6.371574783325195312e+01
9.400000000000000000e+01 7.012715148925781250e+01
9.500000000000000000e+01 6.829273986816406250e+01
9.600000000000000000e+01 6.155332946777343750e+01
9.700000000000000000e+01 7.500804138183593750e+01
9.800000000000000000e+01 7.446400451660156250e+01
9.900000000000000000e+01 7.402254486083984375e+01
1.000000000000000000e+02 6.985144805908203125e+01
