# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.476839065551757812e+00
2.000000000000000000e+00 1.634613800048828125e+01
3.000000000000000000e+00 2.800210762023925781e+01
4.000000000000000000e+00 2.776098632812500000e+01
5.000000000000000000e+00 2.395337104797363281e+01
6.000000000000000000e+00 2.390895080566406250e+01
7.000000000000000000e+00 2.373989677429199219e+01
8.000000000000000000e+00 2.804776954650878906e+01
9.000000000000000000e+00 3.015866279602050781e+01
1.000000000000000000e+01 2.660961532592773438e+01
1.100000000000000000e+01 2.685904693603515625e+01
1.200000000000000000e+01 2.715849876403808594e+01
1.300000000000000000e+01 3.413582229614257812e+01
1.400000000000000000e+01 3.178669929504394531e+01
1.500000000000000000e+01 3.897603225708007812e+01
1.600000000000000000e+01 3.511594772338867188e+01
1.700000000000000000e+01 4.207277297973632812e+01
1.800000000000000000e+01 4.131765747070312500e+01
1.900000000000000000e+01 3.654171371459960938e+01
2.000000000000000000e+01 4.857826232910156250e+01
2.100000000000000000e+01 4.721113586425781250e+01
2.200000000000000000e+01 4.896891784667968750e+01
2.300000000000000000e+01 5.095714950561523438e+01
2.400000000000000000e+01 4.921630859375000000e+01
2.500000000000000000e+01 5.580032348632812500e+01
2.600000000000000000e+01 4.952872848510742188e+01
2.700000000000000000e+01 5.405627059936523438e+01
2.800000000000000000e+01 5.120790100097656250e+01
2.900000000000000000e+01 5.358654785156250000e+01
3.000000000000000000e+01 5.408501815795898438e+01
3.100000000000000000e+01 5.399096679687500000e+01
3.200000000000000000e+01 5.585117340087890625e+01
3.300000000000000000e+01 5.652512741088867188e+01
3.400000000000000000e+01 4.923637008666992188e+01
3.500000000000000000e+01 5.437414932250976562e+01
3.600000000000000000e+01 5.184312057495117188e+01
3.700000000000000000e+01 5.196218872070312500e+01
3.800000000000000000e+01 4.960197830200195312e+01
3.900000000000000000e+01 5.186960220336914062e+01
4.000000000000000000e+01 5.215402603149414062e+01
4.100000000000000000e+01 5.207320785522460938e+01
4.200000000000000000e+01 5.258930587768554688e+01
4.300000000000000000e+01 5.186374282836914062e+01
4.400000000000000000e+01 5.187572479248046875e+01
4.500000000000000000e+01 5.873649978637695312e+01
4.600000000000000000e+01 5.900082397460937500e+01
