# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.348550796508789062e+00
2.000000000000000000e+00 1.444826030731201172e+01
3.000000000000000000e+00 1.555170536041259766e+01
4.000000000000000000e+00 1.684648895263671875e+01
5.000000000000000000e+00 1.459242725372314453e+01
6.000000000000000000e+00 1.712380790710449219e+01
7.000000000000000000e+00 1.595388793945312500e+01
8.000000000000000000e+00 1.627073097229003906e+01
9.000000000000000000e+00 1.921000671386718750e+01
1.000000000000000000e+01 2.490635299682617188e+01
1.100000000000000000e+01 2.717576980590820312e+01
1.200000000000000000e+01 2.862373924255371094e+01
1.300000000000000000e+01 2.837211036682128906e+01
1.400000000000000000e+01 2.826004600524902344e+01
1.500000000000000000e+01 2.946770668029785156e+01
1.600000000000000000e+01 3.027515029907226562e+01
1.700000000000000000e+01 3.222188949584960938e+01
1.800000000000000000e+01 4.357081985473632812e+01
1.900000000000000000e+01 4.431616592407226562e+01
2.000000000000000000e+01 3.996497726440429688e+01
2.100000000000000000e+01 4.693210601806640625e+01
2.200000000000000000e+01 4.568394851684570312e+01
2.300000000000000000e+01 4.904165267944335938e+01
2.400000000000000000e+01 5.112420272827148438e+01
2.500000000000000000e+01 4.827830886840820312e+01
2.600000000000000000e+01 5.460688400268554688e+01
2.700000000000000000e+01 5.181291580200195312e+01
2.800000000000000000e+01 5.552437973022460938e+01
2.900000000000000000e+01 5.716233825683593750e+01
3.000000000000000000e+01 5.948496627807617188e+01
3.100000000000000000e+01 5.862622833251953125e+01
3.200000000000000000e+01 6.261904907226562500e+01
3.300000000000000000e+01 6.153908538818359375e+01
3.400000000000000000e+01 5.997543334960937500e+01
3.500000000000000000e+01 5.803794097900390625e+01
3.600000000000000000e+01 6.271696090698242188e+01
3.700000000000000000e+01 6.282869338989257812e+01
3.800000000000000000e+01 6.300471496582031250e+01
3.900000000000000000e+01 6.025148391723632812e+01
4.000000000000000000e+01 6.051736068725585938e+01
4.100000000000000000e+01 6.164120483398437500e+01
4.200000000000000000e+01 6.271075820922851562e+01
4.300000000000000000e+01 6.023249435424804688e+01
4.400000000000000000e+01 6.036175155639648438e+01
4.500000000000000000e+01 6.207292175292968750e+01
4.600000000000000000e+01 6.249490737915039062e+01
