# Time(ps) MSD(A^2)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.177330780029296875e+01
2.000000000000000000e+00 9.451322555541992188e+00
3.000000000000000000e+00 2.527778625488281250e+01
4.000000000000000000e+00 2.281077384948730469e+01
5.000000000000000000e+00 2.333851242065429688e+01
6.000000000000000000e+00 2.358288764953613281e+01
7.000000000000000000e+00 1.966748809814453125e+01
8.000000000000000000e+00 2.376457023620605469e+01
9.000000000000000000e+00 2.345393371582031250e+01
1.000000000000000000e+01 3.043798446655273438e+01
1.100000000000000000e+01 3.036458587646484375e+01
1.200000000000000000e+01 3.235626983642578125e+01
1.300000000000000000e+01 3.283078384399414062e+01
1.400000000000000000e+01 3.287182617187500000e+01
1.500000000000000000e+01 3.697599029541015625e+01
1.600000000000000000e+01 3.426618194580078125e+01
1.700000000000000000e+01 2.933974266052246094e+01
1.800000000000000000e+01 3.594179916381835938e+01
1.900000000000000000e+01 4.195804977416992188e+01
2.000000000000000000e+01 4.573970031738281250e+01
2.100000000000000000e+01 4.552949142456054688e+01
2.200000000000000000e+01 5.573983764648437500e+01
2.300000000000000000e+01 5.729644012451171875e+01
2.400000000000000000e+01 6.013781356811523438e+01
2.500000000000000000e+01 5.143811798095703125e+01
2.600000000000000000e+01 5.589496612548828125e+01
2.700000000000000000e+01 5.960499954223632812e+01
2.800000000000000000e+01 5.726003646850585938e+01
2.900000000000000000e+01 5.960898590087890625e+01
3.000000000000000000e+01 6.820176696777343750e+01
3.100000000000000000e+01 6.310153961181640625e+01
3.200000000000000000e+01 6.004550170898437500e+01
3.300000000000000000e+01 6.534862518310546875e+01
3.400000000000000000e+01 6.250651550292968750e+01
3.500000000000000000e+01 6.105158615112304688e+01
3.600000000000000000e+01 6.157211685180664062e+01
3.700000000000000000e+01 6.168100357055664062e+01
3.800000000000000000e+01 6.129487991333007812e+01
3.900000000000000000e+01 6.511837005615234375e+01
4.000000000000000000e+01 6.532093048095703125e+01
4.100000000000000000e+01 6.169025421142578125e+01
4.200000000000000000e+01 6.406394958496093750e+01
4.300000000000000000e+01 6.372238540649414062e+01
4.400000000000000000e+01 6.380809020996093750e+01
4.500000000000000000e+01 6.385897445678710938e+01
4.600000000000000000e+01 6.433470916748046875e+01
